Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1145370,-,-,-,38.89,-77.02,-5,22,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2012,1,1,0,30,0,0,0,2.3000000000000003,2.3000000000000003,1018,100,307,1.6,0.14
2012,1,1,1,30,0,0,0,2,2,1018,100,307,1.5,0.14
2012,1,1,2,30,0,0,0,1.9000000000000001,1.9000000000000001,1018,100,303,1.4000000000000001,0.14
2012,1,1,3,30,0,0,0,2,2,1018,100,296,1.3,0.14
2012,1,1,4,30,0,0,0,2.3000000000000003,2.3000000000000003,1018,100,278,1.1,0.14
2012,1,1,5,30,0,0,0,2.1,2.1,1018,100,243,1,0.14
2012,1,1,6,30,0,0,0,1.5,1.5,1018,100,208,1.1,0.14
2012,1,1,7,30,0,0,0,2.4000000000000004,2.4000000000000004,1017,100,187,1.6,0.14
2012,1,1,8,30,512,46,129,3.4000000000000004,5,1017,89.48,174,2.5,0.14
2012,1,1,9,30,714,64,279,4.7,7.6000000000000005,1016,81.65,165,3.5,0.14
2012,1,1,10,30,820,69,399,5.5,9.700000000000001,1014,75.29,165,4.5,0.14
2012,1,1,11,30,429,165,363,6.2,11.3,1012,71.04,169,5.1000000000000005,0.14
2012,1,1,12,30,373,181,356,6.9,12.200000000000001,1009,70.22,172,5.4,0.14
2012,1,1,13,30,512,135,355,7.5,12.700000000000001,1008,70.87,171,5.6000000000000005,0.14
2012,1,1,14,30,0,53,53,8.1,12.5,1006,74.47,170,5.6000000000000005,0.14
2012,1,1,15,30,90,85,105,8.5,11.9,1005,79.53,180,5,0.14
2012,1,1,16,30,0,15,15,8.700000000000001,11.100000000000001,1006,85.42,201,4.1000000000000005,0.14
2012,1,1,17,30,0,0,0,9.200000000000001,10.600000000000001,1006,91.16,217,3.7,0.14
2012,1,1,18,30,0,0,0,9.3,10.4,1006,92.78,221,3.6,0.14
2012,1,1,19,30,0,0,0,9,9.700000000000001,1007,95.34,266,4.9,0.15
2012,1,1,20,30,0,0,0,7.2,8.3,1008,92.73,283,5.2,0.15
2012,1,1,21,30,0,0,0,4.7,6.6000000000000005,1009,87.73,285,4.7,0.15
2012,1,1,22,30,0,0,0,3.5,5.6000000000000005,1009,86.43,285,4.5,0.15
2012,1,1,23,30,0,0,0,2.8000000000000003,4.9,1009,86.10000000000001,289,4.5,0.15
2012,1,2,0,30,0,0,0,2,4.3,1009,84.78,292,4.800000000000001,0.15
2012,1,2,1,30,0,0,0,0.6000000000000001,3.7,1010,80.18,294,5.6000000000000005,0.15
2012,1,2,2,30,0,0,0,-1.6,2.7,1010,73.10000000000001,292,5.9,0.15
2012,1,2,3,30,0,0,0,-3.5,1.7000000000000002,1011,68.31,289,5.4,0.15
2012,1,2,4,30,0,0,0,-4.2,1.1,1011,67.5,285,4.800000000000001,0.15
2012,1,2,5,30,0,0,0,-4.4,0.6000000000000001,1011,69.01,281,4.2,0.15
2012,1,2,6,30,0,0,0,-4.4,0.2,1011,70.99,277,3.8000000000000003,0.15
2012,1,2,7,30,0,0,0,-4.3,0.6000000000000001,1011,69.7,273,3.9000000000000004,0.15
2012,1,2,8,30,654,38,144,-3.8000000000000003,1.9000000000000001,1011,65.75,270,4.6000000000000005,0.15
2012,1,2,9,30,817,52,299,-4.1000000000000005,2.9000000000000004,1011,60.230000000000004,270,5.2,0.15
2012,1,2,10,30,19,152,159,-4.5,3.5,1011,55.88,273,5.7,0.15
2012,1,2,11,30,21,175,185,-4.7,3.8000000000000003,1010,54.01,276,5.7,0.15
2012,1,2,12,30,226,205,311,-4.6000000000000005,4,1010,53.33,277,5.5,0.15
2012,1,2,13,30,155,188,255,-4.5,4,1009,53.99,279,5.300000000000001,0.15
2012,1,2,14,30,0,108,108,-4.4,3.7,1010,55.61,280,4.800000000000001,0.15
2012,1,2,15,30,62,85,99,-4,2.7,1010,61.15,281,3.9000000000000004,0.15
2012,1,2,16,30,25,24,26,-3.4000000000000004,1.3,1011,71.15,281,3.1,0.15
2012,1,2,17,30,0,0,0,-3.4000000000000004,0.5,1011,75.27,280,3.1,0.15
2012,1,2,18,30,0,0,0,-3.7,0.30000000000000004,1011,74.4,280,3.2,0.15
2012,1,2,19,30,0,0,0,-3.9000000000000004,-0.5,1012,77.51,281,3.4000000000000004,0.15
2012,1,2,20,30,0,0,0,-4.1000000000000005,-0.9,1012,78.94,283,3.5,0.15
2012,1,2,21,30,0,0,0,-4.2,-1.1,1012,79.57000000000001,283,3.4000000000000004,0.15
2012,1,2,22,30,0,0,0,-4.2,-1.3,1011,80.73,282,3.2,0.15
2012,1,2,23,30,0,0,0,-4.2,-1.6,1011,82.63,283,3.1,0.15
2012,1,3,0,30,0,0,0,-4.4,-1.8,1011,82.55,286,3.3000000000000003,0.15
2012,1,3,1,30,0,0,0,-4.6000000000000005,-1.9000000000000001,1011,81.64,289,3.4000000000000004,0.15
2012,1,3,2,30,0,0,0,-4.7,-2,1011,81.59,289,3.4000000000000004,0.15
2012,1,3,3,30,0,0,0,-4.7,-2.1,1011,82.45,289,3.4000000000000004,0.15
2012,1,3,4,30,0,0,0,-4.7,-2.1,1012,82.38,290,3.7,0.15
2012,1,3,5,30,0,0,0,-4.9,-2.2,1012,81.88,293,4.1000000000000005,0.15
2012,1,3,6,30,0,0,0,-5.5,-2.5,1012,79.8,297,4.6000000000000005,0.15
2012,1,3,7,30,0,0,0,-6.4,-2.4000000000000004,1013,74.29,300,5.1000000000000005,0.15
2012,1,3,8,30,25,59,63,-6.9,-1.9000000000000001,1014,68.58,305,5.7,0.15
2012,1,3,9,30,739,69,292,-7.4,-1.4000000000000001,1014,63.65,312,6.1000000000000005,0.15
2012,1,3,10,30,431,138,313,-7.800000000000001,-1.2000000000000002,1014,61.03,316,6.2,0.15
2012,1,3,11,30,100,202,249,-8.1,-1.2000000000000002,1014,59.6,315,6.300000000000001,0.15
2012,1,3,12,30,329,191,346,-8.3,-1.3,1013,58.95,312,6.300000000000001,0.15
2012,1,3,13,30,1,146,147,-8.5,-1.6,1014,59.21,310,6.4,0.15
2012,1,3,14,30,387,121,256,-9,-2.2,1015,59.86,311,6.4,0.15
2012,1,3,15,30,94,87,108,-9.600000000000001,-2.8000000000000003,1016,59.64,311,5.9,0.15
2012,1,3,16,30,34,25,28,-9.9,-3.4000000000000004,1017,60.7,312,5.2,0.15
2012,1,3,17,30,0,0,0,-9.9,-3.8000000000000003,1018,62.52,312,4.7,0.15
2012,1,3,18,30,0,0,0,-9.9,-4,1019,63.75,312,4.4,0.15
2012,1,3,19,30,0,0,0,-9.8,-4.3,1020,65.45,314,4,0.16
2012,1,3,20,30,0,0,0,-9.8,-4.5,1021,66.53,313,3.8000000000000003,0.16
2012,1,3,21,30,0,0,0,-9.8,-4.7,1022,67.57000000000001,314,3.9000000000000004,0.16
2012,1,3,22,30,0,0,0,-10.200000000000001,-5,1022,67.12,315,4.1000000000000005,0.16
2012,1,3,23,30,0,0,0,-11.100000000000001,-5.300000000000001,1022,63.82,316,4.3,0.16
2012,1,4,0,30,0,0,0,-11.8,-5.7,1022,62.26,315,4.3,0.16
2012,1,4,1,30,0,0,0,-12.3,-6.2,1023,62.050000000000004,315,4.2,0.16
2012,1,4,2,30,0,0,0,-12.600000000000001,-6.7,1023,62.82,314,4.2,0.16
2012,1,4,3,30,0,0,0,-12.9,-7,1023,62.81,314,4.1000000000000005,0.16
2012,1,4,4,30,0,0,0,-13.100000000000001,-7.2,1024,62.84,313,3.8000000000000003,0.16
2012,1,4,5,30,0,0,0,-13.100000000000001,-7.300000000000001,1024,63.35,310,3.3000000000000003,0.16
2012,1,4,6,30,0,0,0,-12.9,-7.300000000000001,1024,64.46000000000001,304,2.6,0.16
2012,1,4,7,30,0,0,0,-12.5,-6.9,1024,64.21000000000001,292,2.1,0.16
2012,1,4,8,30,142,60,83,-12.3,-5.6000000000000005,1024,59.39,273,2.1,0.16
2012,1,4,9,30,100,123,153,-11.4,-4.1000000000000005,1024,56.96,254,2.3000000000000003,0.16
2012,1,4,10,30,239,167,264,-10.4,-2.7,1022,55.59,237,2.6,0.16
2012,1,4,11,30,287,192,325,-9.600000000000001,-1.5,1021,54.160000000000004,223,3,0.16
2012,1,4,12,30,510,154,395,-8.9,-0.6000000000000001,1019,53.47,213,3.4000000000000004,0.16
2012,1,4,13,30,493,140,355,-8.4,-0.1,1018,53.47,207,3.6,0.16
2012,1,4,14,30,110,147,185,-7.9,-0.1,1017,55.61,201,3.3000000000000003,0.16
