471.24,793.16,946.33,1197.10,1799.58,937.21,519.77,630.98,820.21,639.78,888.72,1143.79,1851.74,565.20
471.24,793.16,946.33,1197.10,1799.58,937.21,519.77,630.98,820.21,639.78,888.72,1143.79,1851.74,565.20
471.24,793.16,946.33,1197.10,1799.58,937.21,519.77,630.98,820.21,639.78,888.72,1143.79,1851.74,565.20
471.24,793.16,946.33,1197.10,1799.58,937.21,519.77,630.98,820.21,639.78,888.72,1143.79,1851.74,565.20
448.11,90.85,904.23,1149.20,81.27,894.11,487.46,604.00,780.50,604.54,851.28,1100.22,128.28,535.52
448.11,90.85,904.23,1149.20,81.27,894.11,487.46,604.00,780.50,604.54,851.28,1100.22,128.28,535.52
448.11,90.85,904.23,1149.20,81.27,894.11,487.46,604.00,780.50,604.54,851.28,1100.22,128.28,535.52
448.11,90.85,904.23,1149.20,81.27,894.11,487.46,604.00,780.50,604.54,851.28,1100.22,128.28,535.52
483.67,76.94,978.56,1245.75,75.29,967.68,515.97,654.40,838.89,648.57,929.19,1200.10,118.33,571.39
483.67,76.94,978.56,1245.75,75.29,967.68,515.97,654.40,838.89,648.57,929.19,1200.10,118.33,571.39
483.67,76.94,978.56,1245.75,75.29,967.68,515.97,654.40,838.89,648.57,929.19,1200.10,118.33,571.39
483.67,76.94,978.56,1245.75,75.29,967.68,515.97,654.40,838.89,648.57,929.19,1200.10,118.33,571.39
480.91,71.37,974.31,1241.90,72.90,963.13,510.38,651.91,833.93,643.53,926.38,1197.58,114.35,567.06
480.91,71.37,974.31,1241.90,72.90,963.13,510.38,651.91,833.93,643.53,926.38,1197.58,114.35,567.06
480.91,71.37,974.31,1241.90,72.90,963.13,510.38,651.91,833.93,643.53,926.38,1197.58,114.35,567.06
480.91,71.37,974.31,1241.90,72.90,963.13,510.38,651.91,833.93,643.53,926.38,1197.58,114.35,567.06
493.69,68.59,1000.50,1275.37,71.70,989.17,68.75,669.54,855.05,659.89,953.28,99.22,112.36,580.46
493.69,68.59,1000.50,1275.37,71.70,989.17,68.75,669.54,855.05,659.89,953.28,99.22,112.36,580.46
493.69,68.59,1000.50,1275.37,71.70,989.17,68.75,669.54,855.05,659.89,953.28,99.22,112.36,580.46
493.69,68.59,1000.50,1275.37,71.70,989.17,68.75,669.54,855.05,659.89,953.28,99.22,112.36,580.46
577.93,67.19,1169.32,1486.75,71.10,1157.90,67.35,782.16,995.37,771.88,1122.46,98.59,111.37,672.80
