capex_battery,injection_price,n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without
0.055,0.02,20,14615.763123017752,232.95712559087735,459202.063176418,74825769.53826456,182146980.73879245,137648595.13750002,229601.031588209,46604.85536203161
0.055,0.03,20,15824.45627787373,295.0840610631652,500820.6811502094,81155352.21234405,230723446.000918,137648595.13750002,250410.3405751047,46604.85536203161
0.055,0.04,20,17525.240416349185,389.4980236199749,510437.8257742308,87011871.87667468,304544833.4158316,137648595.13750002,255218.91288711535,46604.85536203161
0.055,0.05,20,20753.17778519528,728.0,573361.1111111111,100328310.13528226,569216338.1630852,137648595.13750002,286680.5555555556,46604.85536203161
0.055,0.06,20,25329.288022511755,727.9994985369464,567441.222033884,100192990.54025312,569215946.0738671,137648595.13750002,283720.611016942,46604.85536203161
0.055,0.07,20,29908.228392853445,727.9999547657376,547932.2573172692,99716083.2362547,569216302.7948484,137648595.13750002,273966.1286586346,46604.85536203161
0.055,0.08,20,34494.099871460014,728.0,533272.566582332,99346648.90335488,569216338.1630852,137648595.13750002,266636.283291166,46604.85536203161
0.055,0.09,20,39086.8771667895,728.0,508130.3321849632,98670312.50491267,569216338.1630852,137648595.13750002,254065.1660924816,46604.85536203161
0.055,0.1,20,43684.65753781946,728.0,498941.9767375213,98406966.62354095,569216338.1630852,137648595.13750002,249470.98836876065,46604.85536203161
0.06,0.01,20,13482.010769185694,200.2323688700584,413366.516041765,70204224.87932546,156559801.90925047,137648595.13750002,206683.2580208825,46604.85536203161
0.06,0.02,20,14352.90888012386,228.1858473891974,440332.012969188,73931884.13328063,178416363.28505856,137648595.13750002,220166.006484594,46604.85536203161
0.06,0.03,20,15535.051918777208,293.7827628225056,486415.7970191797,80728136.16269185,229705973.17206252,137648595.13750002,243207.89850958987,46604.85536203161
0.06,0.04,20,17240.167823962627,399.4945927791064,476619.08161570784,86706490.67469607,312361056.6176913,137648595.13750002,238309.54080785392,46604.85536203161
0.06,0.05,20,20421.74559680454,728.0,549877.3459384212,99764135.74761946,569216338.1630852,137648595.13750002,274938.6729692106,46604.85536203161
0.06,0.06,20,25007.00720068303,727.9994985369464,533285.0156948484,99346961.14741091,569215946.0738671,137648595.13750002,266642.5078474242,46604.85536203161
0.06,0.07,20,29597.850193211805,727.9999547657376,509796.31057513895,98716471.67892309,569216302.7948484,137648595.13750002,254898.15528756948,46604.85536203161
0.06,0.08,20,34194.47550903549,728.0,500212.7362981144,98444377.0541565,569216338.1630852,137648595.13750002,250106.3681490572,46604.85536203161
0.06,0.09,20,38793.69652792186,728.0,493212.6683682528,98231092.68643412,569216338.1630852,137648595.13750002,246606.3341841264,46604.85536203161
0.06,0.1,20,43395.34824717687,728.0,490409.8492063492,98141245.71431953,569216338.1630852,137648595.13750002,245204.92460317464,46604.85536203161
