n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without 
21,22687.050615348333,391.66235770175,838141.646642729,107177884.15890212,306237105.834221,155374741.2554401,419070.8233213645,50729.30983336086
22,23215.66620897164,399.1764545784361,857143.3860295285,109560897.06796582,312112307.3572308,158802067.02939445,428571.6930147642,51861.31637302105
23,23983.356910375263,412.8812351306164,887869.6867355756,113228163.307061,322827946.0952017,164033979.95043927,443934.8433677878,53574.45325341533
24,24773.93351498465,424.6797768111463,909971.04902287,116760223.4447032,332053114.6268677,169312402.74652007,454985.52451143495,55309.62531840429
25,25354.5015358312,435.5369987096435,927401.0399177726,119479956.32750475,340542274.093473,173200484.84283143,463700.5199588863,56587.4016238314
26,26080.519112185044,448.2343822177236,944735.9711451302,122787127.01851764,350470238.57798123,178097216.5562014,472367.9855725651,58194.692372468606
27,27310.003835675965,469.8183101129567,979687.0033491956,128473381.54452264,367346508.3577859,186495715.54789153,489843.50167459785,60940.80021112913
28,28654.16723902432,492.1448932612411,1025109.901727486,134720103.83783284,384803453.2799861,195624457.1858207,512554.95086374297,63927.55200204306
29,30707.93816336097,527.9105795312821,1087810.9412696108,144289536.42654756,412768306.2614721,209796573.09829304,543905.4706348054,68547.62478589945
30,31904.586588216152,548.4051486074621,1129472.6369742707,149908431.26945958,428792816.6485284,217954440.51442373,564736.3184871353,71206.98474187858
31,32427.297480097863,555.818023273998,1145056.4445902328,152242229.19169736,434588873.479498,221357408.79004523,572528.2222951164,72324.74663553749
32,33113.480548060514,566.6132294082481,1177406.8418965857,155526905.72396982,443029543.4045767,226060088.08583692,588703.4209482928,73856.64443849352
33,34205.20088079297,586.6148864103842,1219462.4099763294,160769723.20812753,458668650.4869224,233613320.61461636,609731.2049881647,76319.96026355567
34,34781.38681411896,594.9965604466163,1239466.1048195362,163385955.87008,465222202.4135378,237403397.10434464,619733.0524097681,77561.9672383291
35,35683.3483893778,610.4249020446144,1267423.674270233,167576829.1421751,477285477.2876333,243593814.0983512,633711.8371351163,79583.2576366522
36,36681.71103326584,631.5563453210223,1299959.1022303945,172431016.94470227,493807953.60893065,250397956.00306982,649979.5511151971,81807.13601051443
37,38721.62867082498,663.8675412812587,1376992.588221313,181955661.2101532,519071773.1778176,264615274.5751992,688496.2941106565,86441.85531815662
38,39452.6204267829,675.4637221011089,1402705.7177513076,185333777.9182588,528138717.6599014,269502411.00264186,701352.8588756538,88042.76142709632
39,40392.53021690926,692.3429465535122,1438857.4792358205,189858640.3254151,541336424.1624103,276208004.1433042,719428.7396179102,90214.9863867286
40,41038.2752065461,703.0647363527303,1461601.496564087,192870877.8125873,549719690.5471166,280620614.2679972,730800.7482820435,91657.42726235802
41,42032.69964001021,720.2408891794421,1493853.131424837,197506022.0986959,563149562.5467713,287416811.415783,746926.5657124185,93879.0319157718
42,43033.53633168472,737.6362745216717,1529330.2168975612,202223317.645082,576750850.3839133,294329640.318279,764665.1084487806,96134.64736490804
43,44251.90451862785,759.6599440515957,1569527.0805578274,207895205.63346696,593970950.0030664,302224199.1924031,784763.5402789137,98748.6588940884
44,45790.61413011619,785.9754450714878,1618290.788995466,215048824.95669064,614546792.2111311,312793853.1322729,809145.394497733,102200.15529285128
45,47467.18566142943,813.6903601200877,1680034.5599422655,222971984.16575384,636216823.0579246,324694288.1034794,840017.2799711329,106055.53772450978
46,47996.93430230305,821.7360512854948,1702124.0066908028,225422581.28171587,642507673.1446838,328121033.7886825,851062.0033454014,107185.96079085728
47,48763.931606766586,835.052895401712,1733770.2240816166,229085829.5267349,652919988.039901,333346242.4139748,866885.1120408083,108895.17071139292
48,49551.60050099224,849.1088655177073,1758864.1148429462,232761703.0448571,663910218.5876486,338617924.6835504,879432.0574214731,110627.9301493616
