max_area,min_area,n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without
50.0,20.0,20,2042.2602565963914,9.1,0.0,7027071.624376889,7115204.22703869,137648595.13750002,0.0,46604.85536203161
113.15789473684211,58.421052631578945,20,4302.378399137286,20.594736842105263,2718.221230300802,14634555.92988469,16102830.619087495,137648595.13750002,1359.110615150401,46604.85536203161
176.31578947368422,96.84210526315789,20,5727.663846846825,32.089473684210525,7896.652630119519,20533379.98044885,25090457.011136267,137648595.13750002,3948.3263150597595,46604.85536203161
239.4736842105263,135.26315789473682,20,6783.856289763253,43.584210526315786,14896.32763450874,25315174.4584208,34078083.40318557,137648595.13750002,7448.16381725437,46604.85536203161
302.63157894736844,173.68421052631578,20,7701.968913849505,55.078947368421055,21782.149350457075,29436222.63397983,43065709.79523431,137648595.13750002,10891.074675228538,46604.85536203161
365.7894736842105,212.10526315789474,20,8461.622762525225,66.57368421052631,31091.573790039118,33337590.148955833,52053336.18728327,137648595.13750002,15545.786895019559,46604.85536203161
428.9473684210526,250.52631578947367,20,9080.884002468885,78.06842105263158,39574.84944050262,36709651.471245535,61040962.57933178,137648595.13750002,19787.42472025131,46604.85536203161
492.10526315789474,288.9473684210526,20,9592.776641118826,89.56315789473685,49362.234955865904,39893090.32121326,70028588.97138123,137648595.13750002,24681.117477932952,46604.85536203161
555.2631578947369,327.36842105263156,20,10031.263842767257,101.05789473684212,57303.36507936508,42626431.402111165,79016215.3634296,137648595.13750002,28651.68253968254,46604.85536203161
618.421052631579,365.7894736842105,20,10320.488835056734,112.55263157894737,60729.5746107129,44513745.15471536,88003841.75547916,137648595.13750002,30364.78730535645,46604.85536203161
681.578947368421,404.2105263157895,20,10560.68095806072,124.04736842105262,63323.84223947034,46141112.88163996,96991468.1475272,137648595.13750002,31661.92111973517,46604.85536203161
744.7368421052631,442.6315789473684,20,10759.541466432811,135.54210526315788,65526.522709192264,47594294.49502144,105979094.53957564,137648595.13750002,32763.261354596132,46604.85536203161
807.8947368421052,481.05263157894734,20,10918.450110353364,147.03684210526313,67538.28121095743,48896514.76240857,114966720.93162633,137648595.13750002,33769.140605478715,46604.85536203161
871.0526315789473,519.4736842105262,20,11046.624719031219,158.5315789473684,68747.94111692702,50014224.195825696,123954347.3236735,137648595.13750002,34373.97055846351,46604.85536203161
934.2105263157895,557.8947368421052,20,11144.465271344889,170.02631578947367,71249.80158730158,51199653.62835455,132941973.71572222,137648595.13750002,35624.90079365079,46604.85536203161
997.3684210526316,596.3157894736842,20,11214.67161706667,181.52105263157893,72510.81850718864,52153166.61772533,141929600.10777208,137648595.13750002,36255.40925359432,46604.85536203161
1060.5263157894738,634.7368421052631,20,11261.427400796903,193.0157894736842,73838.03937581134,53042656.795066155,150917226.49981943,137648595.13750002,36919.01968790567,46604.85536203161
1123.6842105263158,673.1578947368421,20,11291.27572486892,204.5105263157895,75324.18326475908,53902660.68366333,159904852.89186582,137648595.13750002,37662.09163237954,46604.85536203161
1186.842105263158,711.578947368421,20,11303.146224064241,216.00526315789475,76705.75521354577,54697384.35981654,168892479.2839201,137648595.13750002,38352.87760677288,46604.85536203161
1250.0,750.0,20,11304.401917588613,220.82593109455178,77919.98356954166,55094936.99216377,172661714.10590085,137648595.13750002,38959.99178477083,46604.85536203161
