Période;Poste;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,8[;[8,9[;[9,10[;[10,11[;[11,12[;[12,13[;[13,14[;[14,15[;[15,16[;[16,17[;[17,18[;[18,19[;[19,20[;[20,21[;[21,22[;[22,23[;[23,24[
Mois de Septembre - Novembre (Week-end);Eclairage;16,0;10,0;6,7;5,3;4,5;4,8;6,3;10,7;13,7;16,5;15,9;16,1;15,3;12,0;10,9;12,0;13,5;21,5;35,6;46,8;51,8;40,1;29,5;21,7
Mois de Septembre - Novembre (Week-end);Chauffe eau;336,8;194,7;118,7;109,8;92,8;84,2;69,9;30,4;22,4;32,9;42,4;40,3;49,5;71,0;80,8;76,3;44,5;20,6;22,8;42,8;61,0;111,4;204,2;362,6
Mois de Septembre - Novembre (Week-end);Autres;67,3;47,9;48,4;47,7;45,5;45,3;38,5;39,4;35,5;55,7;66,2;80,5;69,7;68,5;58,9;50,5;58,2;62,1;60,5;64,4;58,4;62,4;51,0;57,9
Mois de Septembre - Novembre ();Chauffage direct;86,1;85,1;92,9;98,6;113,2;130,7;143,2;143,7;138,9;129,4;114,4;105,9;102,5;99,8;91,2;82,3;85,3;89,0;101,9;108,6;114,1;133,4;108,3;97,3
Mois de Septembre - Novembre ();Ventilation;13,0;13,1;13,1;13,1;13,1;13,1;13,1;13,4;13,4;13,1;13,1;13,1;13,0;13,0;13,1;13,1;13,2;13,4;13,3;13,3;13,4;13,3;13,1;13,0
Mois de Septembre - Novembre ();Froid;71,9;69,9;68,9;67,5;67,1;66,6;66,4;67,8;67,9;67,4;67,9;68,0;71,6;72,9;73,8;71,6;72,5;72,9;73,8;76,9;78,7;76,7;73,7;72,8
Mois de Septembre - Novembre ();Audiovisuel;27,5;19,0;15,6;13,9;13,6;13,2;14,3;19,1;24,8;26,0;27,8;29,0;36,1;41,1;38,1;36,1;36,5;40,5;46,7;56,0;63,8;69,6;63,7;43,2
Mois de Septembre - Novembre ();Informatique/Bureautique;21,1;19,5;19,1;18,0;17,4;17,2;17,8;17,9;18,9;21,0;22,8;22,6;22,8;23,1;24,3;24,5;24,9;25,1;25,6;26,6;27,4;28,0;26,7;23,8
Mois de Septembre - Novembre ();Lavage séchage;37,0;28,6;23,2;17,0;11,6;7,2;6,3;17,2;32,1;43,8;49,8;44,4;47,4;56,4;53,2;41,5;35,8;35,1;37,5;38,8;44,3;46,9;31,8;35,1
Mois de Septembre - Novembre ();Cuisson;11,2;10,7;11,5;10,1;9,3;12,0;19,8;36,1;33,1;33,1;33,8;49,5;101,0;76,4;39,8;28,2;32,4;40,9;77,9;145,4;116,3;46,3;20,2;13,9
Mois de Septembre - Novembre ();Eclairage;12,8;8,0;6,1;5,1;4,7;5,8;10,1;24,6;18,5;13,6;12,3;11,5;11,3;9,4;8,5;10,1;11,8;20,0;33,4;45,9;51,0;40,8;29,3;21,8
Mois de Septembre - Novembre ();Chauffe eau;343,3;198,6;125,6;113,7;96,7;83,2;80,9;54,1;28,7;24,5;29,5;28,2;42,2;56,6;53,5;56,9;35,0;16,2;21,9;36,3;53,2;104,2;198,1;345,1
Mois de Septembre - Novembre ();Autres;66,3;45,2;45,2;46,7;45,3;44,1;38,9;40,9;32,8;48,3;56,6;64,1;57,0;57,9;49,0;48,4;53,4;54,1;54,6;60,2;59,4;61,8;54,3;59,5
Toutes saisons (Jours ouvrées);Chauffage direct;116,2;113,5;122,1;128,7;146,4;163,7;186,5;196,4;182,9;162,9;152,5;146,9;140,5;138,2;127,6;120,0;125,8;131,3;147,6;150,7;157,7;168,6;148,2;125,9
Toutes saisons (Jours ouvrées);Ventilation;13,0;13,1;13,1;13,1;13,1;13,1;13,3;13,4;13,2;12,9;12,9;12,9;12,9;12,9;13,0;13,0;13,2;13,4;13,3;13,3;13,3;13,2;13,1;13,0
Toutes saisons (Jours ouvrées);Froid;69,4;67,6;66,3;64,8;64,5;63,9;63,4;65,0;65,3;64,8;65,9;65,7;68,9;70,9;70,2;69,1;69,9;71,0;71,9;74,9;77,2;74,7;72,3;70,4
Toutes saisons (Jours ouvrées);Audiovisuel;26,0;17,8;14,3;12,6;12,0;12,8;13,6;18,2;22,4;22,8;23,5;24,7;33,3;39,0;34,0;31,6;32,3;36,6;44,6;55,0;62,7;68,6;62,2;42,5
Toutes saisons (Jours ouvrées);Informatique/Bureautique;19,3;17,8;17,3;16,3;15,7;15,8;15,8;16,4;17,5;19,6;20,6;20,7;20,7;21,0;22,7;22,9;23,1;23,3;24,0;25,2;25,3;25,3;24,7;22,3
Toutes saisons (Jours ouvrées);Lavage séchage;36,8;27,6;21,9;16,7;14,9;8,9;7,7;19,2;35,4;40,3;39,2;37,8;37,6;48,7;46,9;34,3;28,7;27,9;30,5;34,5;41,9;45,2;30,5;33,5
Toutes saisons (Jours ouvrées);Cuisson;6,1;5,0;5,4;4,6;4,4;6,9;17,1;31,5;27,7;23,5;21,8;33,5;83,6;58,0;26,0;18,4;22,4;31,9;66,0;135,5;109,2;44,9;15,7;8,8
Toutes saisons (Jours ouvrées);Eclairage;13,2;8,5;6,7;5,6;5,2;6,4;10,9;21,7;17,2;12,4;11,4;10,8;10,2;9,6;9,4;9,8;11,2;17,4;28,0;37,0;39,6;35,8;30,5;23,2
Toutes saisons (Jours ouvrées);Chauffe eau;354,5;215,4;143,9;110,7;93,4;88,5;82,7;49,2;31,2;27,1;29,3;25,3;41,2;48,1;39,4;47,6;29,7;14,6;21,4;32,6;51,1;103,2;203,8;357,7
Toutes saisons (Jours ouvrées);Autres;72,0;54,0;51,1;51,5;51,1;49,9;45,0;43,1;39,8;51,2;56,5;59,3;53,9;53,5;54,9;58,1;60,9;61,5;64,5;68,8;64,7;59,3;57,0;66,5
Toutes saisons (Week-end);Chauffage direct;121,9;116,8;125,1;128,8;146,1;160,2;176,9;181,2;194,5;193,0;180,9;164,4;153,4;147,2;134,2;124,7;124,5;126,7;140,3;154,8;152,2;167,6;146,8;129,8
Toutes saisons (Week-end);Ventilation;13,0;13,1;13,1;13,1;13,2;13,2;13,1;13,4;13,5;13,4;13,4;13,3;13,2;13,1;13,2;13,2;13,3;13,2;13,2;13,2;13,3;13,2;13,1;13,0
Toutes saisons (Week-end);Froid;69,8;67,2;65,7;66,4;65,3;64,8;64,4;63,1;65,2;65,7;66,6;68,3;70,2;73,4;72,6;71,9;71,5;72,6;72,3;74,8;76,4;74,7;72,1;70,7
Toutes saisons (Week-end);Audiovisuel;29,9;20,0;15,3;13,6;12,9;12,1;12,5;15,0;23,1;30,8;34,3;35,3;39,0;44,0;44,9;43,7;43,5;45,7;50,7;56,7;61,8;66,5;61,3;43,7
Toutes saisons (Week-end);Informatique/Bureautique;19,1;17,6;16,7;16,2;15,6;15,3;15,2;15,6;16,4;18,0;19,2;19,8;20,2;20,9;22,6;22,6;23,0;23,3;23,7;25,1;24,9;24,7;23,9;21,9
Toutes saisons (Week-end);Lavage séchage;37,0;29,0;25,9;19,7;17,5;11,5;8,7;7,7;22,4;54,5;77,7;75,1;74,2;75,0;77,9;66,3;58,4;51,8;51,7;49,5;48,2;48,0;36,3;37,1
Toutes saisons (Week-end);Cuisson;6,5;5,5;5,2;4,1;3,8;4,5;7,4;17,6;32,3;39,2;44,4;61,8;114,1;94,7;46,1;29,1;31,4;33,3;57,8;110,7;94,9;44,7;17,4;8,5
Toutes saisons (Week-end);Eclairage;16,6;10,8;7,9;6,2;5,4;5,4;6,4;9,2;12,5;15,1;16,0;16,0;14,8;12,1;11,3;11,6;13,5;19,4;30,0;38,3;39,8;35,7;31,1;23,8
Toutes saisons (Week-end);Chauffe eau;344,3;205,6;134,0;103,4;85,1;76,5;60,3;25,8;19,8;32,0;39,1;41,3;53,3;67,5;63,7;69,4;41,2;20,2;26,5;36,7;57,6;111,2;210,1;362,9
Toutes saisons (Week-end);Autres;74,3;58,2;57,2;55,7;55,6;54,3;45,1;42,7;43,3;54,2;62,5;95,2;64,7;60,9;57,3;56,2;62,8;64,8;69,2;70,2;65,9;61,7;55,0;63,7
Toutes saisons ();Chauffage direct;117,2;113,8;122,3;128,2;145,7;162,4;182,9;191,5;185,7;170,9;160,0;151,5;143,7;139,7;129,2;121,2;125,2;129,9;145,3;151,8;156,2;168,3;147,8;126,9
Toutes saisons ();Ventilation;13,0;13,1;13,1;13,1;13,2;13,1;13,2;13,4;13,3;13,1;13,1;13,0;13,0;13,0;13,0;13,1;13,2;13,4;13,3;13,3;13,3;13,2;13,1;13,0
Toutes saisons ();Froid;69,5;67,5;66,1;65,2;64,7;64,1;63,7;64,4;65,2;65,1;66,1;66,4;69,3;71,6;70,9;69,9;70,3;71,4;72,0;74,9;77,0;74,7;72,2;70,5
Toutes saisons ();Audiovisuel;27,1;18,4;14,6;12,9;12,3;12,6;13,3;17,3;22,6;25,1;26,6;27,7;34,9;40,4;37,1;35,0;35,5;39,2;46,3;55,5;62,4;68,0;62,0;42,8
Toutes saisons ();Informatique/Bureautique;19,2;17,7;17,1;16,3;15,7;15,6;15,6;16,2;17,2;19,2;20,2;20,4;20,6;21,0;22,7;22,8;23,0;23,3;23,9;25,2;25,2;25,2;24,4;22,2
Toutes saisons ();Lavage séchage;36,9;28,0;23,1;17,6;15,7;9,6;8,0;15,9;31,7;44,4;50,2;48,4;48,0;56,2;55,7;43,4;37,2;34,7;36,6;38,8;43,7;46,0;32,1;34,5
Toutes saisons ();Cuisson;6,2;5,2;5,3;4,4;4,2;6,2;14,4;27,5;29,0;28,0;28,2;41,6;92,3;68,4;31,7;21,5;25,0;32,3;63,7;128,5;105,1;44,8;16,2;8,7
Toutes saisons ();Eclairage;14,2;9,2;7,0;5,8;5,2;6,1;9,6;18,1;15,8;13,2;12,7;12,3;11,5;10,3;10,0;10,3;11,9;18,0;28,5;37,4;39,7;35,8;30,7;23,4
Toutes saisons ();Chauffe eau;351,6;212,6;141,1;108,6;91,0;85,1;76,3;42,5;27,9;28,5;32,1;29,8;44,7;53,6;46,3;53,8;33,0;16,2;22,8;33,8;52,9;105,4;205,6;359,2
Toutes saisons ();Autres;72,1;54,9;52,5;52,4;52,1;50,8;44,6;42,8;40,8;51,5;56,0;66,8;55,8;55,2;54,6;56,5;60,4;61,6;64,7;67,7;64,3;59,5;56,0;65,2
Electricité spécifique - Mois de Décembre - Février (Jours ouvrées);Ventilation;12,4;12,4;12,4;12,5;12,5;12,5;12,9;13,1;12,8;12,5;12,4;12,4;12,4;12,4;12,5;12,5;12,8;13,0;12,9;12,9;12,9;12,7;12,6;12,4
Electricité spécifique - Mois de Décembre - Février (Jours ouvrées);Froid;59,2;58,4;57,5;56,3;56,8;56,1;56,1;57,4;57,9;57,2;57,9;57,4;60,0;61,8;62,3;59,4;59,5;60,5;61,5;63,8;66,3;64,0;62,6;62,6
Electricité spécifique - Mois de Décembre - Février (Jours ouvrées);Audiovisuel;27,2;18,9;15,3;13,6;13,0;14,8;15,2;18,7;23,3;24,0;25,0;25,9;35,1;40,8;37,5;33,5;34,7;40,6;50,8;62,1;67,6;72,2;64,0;43,6
Electricité spécifique - Mois de Décembre - Février (Jours ouvrées);Informatique/Bureautique;22,2;20,6;19,5;18,5;18,1;19,0;18,3;18,7;20,1;22,3;23,9;24,1;25,0;25,0;27,3;26,8;27,0;27,1;27,7;28,4;29,2;28,3;27,3;25,2
Electricité spécifique - Mois de Décembre - Février (Jours ouvrées);Lavage séchage;42,3;30,1;23,2;16,9;17,5;10,2;7,5;18,5;37,5;41,9;44,6;44,7;41,1;53,6;58,0;39,7;32,5;31,9;37,9;38,1;49,1;52,9;32,9;39,4
Electricité spécifique - Mois de Décembre - Février (Jours ouvrées);Eclairage;12,9;8,5;6,8;5,9;5,4;6,7;11,3;26,1;25,2;17,9;15,2;14,3;13,1;12,2;12,7;11,5;14,6;28,6;50,9;59,9;55,3;40,3;29,2;21,5
Electricité spécifique - Mois de Décembre - Février (Jours ouvrées);Autres;92,5;72,3;65,0;64,2;63,9;66,4;66,2;58,0;56,8;60,3;60,9;63,6;56,9;53,6;55,2;57,9;59,5;63,1;72,6;82,1;79,5;74,4;73,0;93,0
Electricité spécifique - Mois de Décembre - Février (Week-end);Ventilation;12,4;12,5;12,5;12,5;12,6;12,6;12,5;12,9;13,1;13,2;13,0;12,8;12,8;12,7;12,8;12,8;12,9;12,8;12,8;12,7;12,8;12,7;12,5;12,4
Electricité spécifique - Mois de Décembre - Février (Week-end);Froid;60,3;58,2;57,8;57,5;57,1;56,6;58,2;55,2;58,4;58,1;58,4;59,1;61,1;63,5;62,8;61,9;60,9;61,1;61,7;65,1;65,7;64,3;62,6;60,7
Electricité spécifique - Mois de Décembre - Février (Week-end);Audiovisuel;33,1;22,1;17,1;14,6;13,6;13,4;14,1;15,7;24,4;34,3;37,5;37,7;41,8;46,9;47,9;45,6;46,4;50,3;58,5;65,4;68,1;70,1;65,1;46,9
Electricité spécifique - Mois de Décembre - Février (Week-end);Informatique/Bureautique;21,8;20,4;19,7;18,7;18,2;18,1;18,0;18,3;18,9;20,8;21,7;22,4;23,3;24,2;24,7;25,5;25,9;26,4;27,1;31,0;28,5;28,2;26,8;24,9
Electricité spécifique - Mois de Décembre - Février (Week-end);Lavage séchage;46,1;33,9;28,6;21,9;19,8;12,7;7,9;8,4;25,1;56,6;90,8;90,6;87,0;88,6;102,5;79,1;73,5;63,6;68,1;60,2;55,9;60,7;41,4;39,3
Electricité spécifique - Mois de Décembre - Février (Week-end);Eclairage;14,9;9,4;7,4;5,8;5,2;5,2;6,0;10,5;16,1;19,5;20,6;19,6;17,0;14,7;13,5;13,9;17,9;30,7;53,4;63,0;55,8;41,5;31,5;23,2
Electricité spécifique - Mois de Décembre - Février (Week-end);Autres;91,9;73,6;68,4;70,7;68,6;69,6;64,1;60,8;63,8;65,4;65,7;67,8;70,8;64,9;61,5;61,1;68,9;74,1;89,6;87,8;86,0;79,3;76,6;94,2
Electricité spécifique - Mois de Décembre - Février ();Ventilation;12,4;12,4;12,4;12,5;12,6;12,5;12,8;13,0;12,9;12,7;12,6;12,5;12,5;12,5;12,6;12,6;12,8;13,0;12,9;12,9;12,9;12,7;12,5;12,4
Electricité spécifique - Mois de Décembre - Février ();Froid;59,5;58,3;57,6;56,6;56,9;56,2;56,7;56,8;58,1;57,4;58,0;57,9;60,3;62,3;62,4;60,1;59,9;60,7;61,5;64,2;66,1;64,1;62,6;62,0
Electricité spécifique - Mois de Décembre - Février ();Audiovisuel;28,9;19,8;15,8;13,9;13,1;14,4;14,9;17,8;23,6;27,0;28,6;29,3;37,0;42,6;40,5;37,0;38,1;43,4;53,0;63,0;67,8;71,6;64,3;44,5
Electricité spécifique - Mois de Décembre - Février ();Informatique/Bureautique;22,1;20,5;19,6;18,6;18,1;18,7;18,3;18,6;19,8;22,0;23,4;23,8;24,7;24,9;26,7;26,6;26,8;27,1;27,5;29,2;29,1;28,3;27,2;25,1
Electricité spécifique - Mois de Décembre - Février ();Lavage séchage;43,4;31,2;24,7;18,3;18,1;10,9;7,6;15,5;33,9;46,2;58,0;58,0;54,5;63,8;70,9;51,1;44,4;41,1;46,6;44,5;51,1;55,1;35,4;39,4
Electricité spécifique - Mois de Décembre - Février ();Eclairage;13,5;8,7;7,0;5,8;5,3;6,2;9,7;21,6;22,6;18,4;16,7;15,8;14,3;12,9;12,9;12,2;15,6;29,2;51,6;60,8;55,4;40,6;29,9;22,0
Electricité spécifique - Mois de Décembre - Février ();Autres;92,4;72,4;65,9;66,1;64,9;66,0;64,9;59,2;57,9;60,8;59,5;62,4;59,8;55,1;55,2;57,5;61,1;64,1;75,8;82,0;79,8;75,3;73,2;93,2
Electricité spécifique - Mois de Juin - Aôut (Jours ouvrées);Ventilation;14,0;14,1;14,1;14,2;14,2;14,1;14,0;14,0;13,9;13,8;13,7;13,7;13,7;13,7;13,7;13,7;13,8;13,9;13,8;13,9;14,0;14,0;14,0;14,0
Electricité spécifique - Mois de Juin - Aôut (Jours ouvrées);Froid;85,0;83,4;81,3;78,8;78,3;77,6;76,9;77,6;79,2;78,3;80,6;81,1;84,4;87,1;86,2;85,7;86,5;89,0;89,7;92,6;94,8;92,2;89,7;85,2
Electricité spécifique - Mois de Juin - Aôut (Jours ouvrées);Audiovisuel;26,1;18,1;13,9;12,3;11,7;12,1;12,5;16,9;21,1;22,1;22,8;23,7;31,3;36,5;31,2;30,0;30,1;33,0;38,1;44,7;51,4;58,1;55,5;40,9
Electricité spécifique - Mois de Juin - Aôut (Jours ouvrées);Informatique/Bureautique;18,8;17,3;16,6;16,0;15,5;15,3;15,4;16,3;17,1;19,1;18,9;18,5;18,8;19,5;19,9;21,0;21,1;21,6;22,2;23,3;23,1;22,8;22,9;21,1
Electricité spécifique - Mois de Juin - Aôut (Jours ouvrées);Lavage séchage;30,9;25,3;19,1;16,4;13,6;5,9;7,2;16,1;29,3;31,3;25,9;27,7;30,9;38,5;31,3;27,2;22,2;20,4;21,6;25,7;31,2;37,3;29,9;28,8
Electricité spécifique - Mois de Juin - Aôut (Jours ouvrées);Eclairage;16,3;10,6;8,6;7,6;7,2;7,9;11,5;14,7;11,4;10,1;10,0;10,6;10,3;10,0;9,9;10,4;10,6;11,7;13,4;17,0;20,5;26,8;31,7;27,2
Electricité spécifique - Mois de Juin - Aôut (Jours ouvrées);Autres;85,5;59,7;60,1;61,8;60,2;61,1;56,1;51,8;48,0;63,4;72,2;76,2;75,9;82,9;87,4;89,1;91,4;93,2;93,9;94,5;85,9;78,9;76,3;82,0
Electricité spécifique - Mois de Juin - Aôut (Week-end);Ventilation;14,0;14,1;14,1;14,2;14,2;14,2;14,2;14,1;14,0;13,9;14,0;13,9;13,8;13,8;13,8;13,8;13,9;13,9;13,9;13,8;14,1;14,0;14,0;14,0
Electricité spécifique - Mois de Juin - Aôut (Week-end);Froid;86,2;83,7;80,9;81,5;78,6;80,5;78,0;77,2;78,1;79,4;80,7;84,1;86,5;90,4;88,6;87,8;88,4;92,1;89,8;92,2;93,3;91,5;89,0;86,6
Electricité spécifique - Mois de Juin - Aôut (Week-end);Audiovisuel;28,4;19,7;15,2;13,2;12,0;11,6;11,7;14,3;20,8;27,2;29,8;30,2;34,1;38,5;40,1;39,8;39,1;39,0;41,4;43,8;49,1;56,0;53,7;40,5
Electricité spécifique - Mois de Juin - Aôut (Week-end);Informatique/Bureautique;18,4;17,1;16,1;15,5;15,1;14,7;14,7;15,1;15,9;17,0;17,8;18,4;18,7;18,8;19,6;20,4;21,3;21,4;21,5;22,4;22,3;22,1;22,0;20,8
Electricité spécifique - Mois de Juin - Aôut (Week-end);Lavage séchage;28,6;24,7;21,7;17,1;14,0;9,0;8,1;6,6;16,2;37,9;50,5;57,1;50,9;55,6;55,0;49,8;44,1;38,4;33,3;39,3;35,8;34,8;30,4;26,5
Electricité spécifique - Mois de Juin - Aôut (Week-end);Eclairage;19,4;13,5;10,0;8,7;7,7;7,5;8,2;8,8;10,0;12,3;14,1;15,1;14,2;11,9;11,1;11,7;12,6;14,0;15,5;17,9;18,6;24,3;29,5;25,8
Electricité spécifique - Mois de Juin - Aôut (Week-end);Autres;89,8;66,3;63,6;64,4;62,8;64,5;56,6;49,7;51,5;63,9;74,5;204,6;99,3;85,1;87,1;88,9;92,0;94,3;100,7;94,6;91,4;80,5;76,9;81,0
Electricité spécifique - Mois de Juin - Aôut ();Ventilation;14,0;14,1;14,1;14,2;14,2;14,1;14,1;14,0;13,9;13,8;13,8;13,8;13,8;13,8;13,8;13,8;13,8;13,9;13,8;13,9;14,0;14,0;14,0;14,0
Electricité spécifique - Mois de Juin - Aôut ();Froid;85,3;83,5;81,2;79,6;78,4;78,4;77,2;77,5;78,9;78,6;80,6;81,9;85,0;88,0;86,9;86,3;87,0;89,9;89,7;92,5;94,3;92,0;89,5;85,6
Electricité spécifique - Mois de Juin - Aôut ();Audiovisuel;26,8;18,6;14,2;12,5;11,8;12,0;12,3;16,2;21,0;23,5;24,8;25,5;32,1;37,1;33,7;32,8;32,7;34,8;39,1;44,5;50,8;57,5;55,0;40,8
Electricité spécifique - Mois de Juin - Aôut ();Informatique/Bureautique;18,6;17,3;16,4;15,8;15,4;15,1;15,2;16,0;16,7;18,6;18,6;18,5;18,8;19,3;19,8;20,8;21,1;21,6;22,0;23,1;22,9;22,6;22,6;21,0
Electricité spécifique - Mois de Juin - Aôut ();Lavage séchage;30,2;25,2;19,9;16,6;13,7;6,8;7,5;13,4;25,5;33,1;32,9;36,1;36,6;43,4;38,0;33,7;28,5;25,6;24,9;29,6;32,5;36,6;30,0;28,2
Electricité spécifique - Mois de Juin - Aôut ();Eclairage;17,2;11,4;9,0;7,9;7,3;7,8;10,6;13,0;11,0;10,7;11,1;11,9;11,4;10,5;10,3;10,8;11,2;12,4;14,0;17,2;20,0;26,1;31,0;26,8
Electricité spécifique - Mois de Juin - Aôut ();Autres;86,5;61,4;61,0;62,4;60,7;61,9;56,0;51,0;48,8;62,8;72,0;108,7;78,1;83,2;86,9;88,5;90,8;92,2;94,7;93,8;86,2;78,8;76,0;81,0
Electricité spécifique - Mois de Mars - Mai (Jours ouvrées);Ventilation;12,5;12,6;12,6;12,7;12,7;12,7;13,0;13,1;12,7;12,5;12,6;12,6;12,6;12,6;12,7;12,8;13,1;13,2;13,1;13,0;13,0;12,8;12,7;12,6
Electricité spécifique - Mois de Mars - Mai (Jours ouvrées);Froid;63,3;60,8;59,7;58,8;58,8;57,9;56,8;58,8;58,4;59,7;60,2;59,2;62,3;64,7;62,7;63,1;63,7;64,0;64,4;67,8;70,5;67,6;64,7;63,1
Electricité spécifique - Mois de Mars - Mai (Jours ouvrées);Audiovisuel;26,4;18,7;15,9;14,3;13,9;14,8;15,4;19,8;23,3;24,3;24,6;25,9;34,7;41,5;34,9;33,0;33,9;37,8;46,4;59,1;67,4;73,1;64,5;43,8
Electricité spécifique - Mois de Mars - Mai (Jours ouvrées);Informatique/Bureautique;21,8;20,5;19,9;19,3;18,5;18,3;18,4;19,3;20,0;21,5;23,2;23,1;22,8;23,2;24,9;26,0;26,1;26,2;26,9;28,3;28,2;28,0;27,4;25,3
Electricité spécifique - Mois de Mars - Mai (Jours ouvrées);Lavage séchage;35,7;28,3;23,5;17,5;18,6;12,4;8,9;19,2;38,6;48,2;47,8;45,2;42,9;51,3;50,3;36,3;30,5;30,1;31,2;37,9;44,2;44,0;29,1;33,4
Electricité spécifique - Mois de Mars - Mai (Jours ouvrées);Eclairage;12,4;8,3;6,0;4,8;4,3;5,8;10,0;17,6;13,0;10,4;10,4;9,5;8,8;8,7;8,4;8,9;9,3;11,1;16,1;26,8;33,1;35,7;31,3;22,3
Electricité spécifique - Mois de Mars - Mai (Jours ouvrées);Autres;67,9;59,9;55,1;55,1;54,5;52,0;48,3;49,4;48,9;54,5;58,8;58,0;56,0;53,6;56,6;57,6;58,7;60,4;63,3;67,9;68,3;58,5;60,3;63,7
Electricité spécifique - Mois de Mars - Mai (Week-end);Ventilation;12,5;12,6;12,6;12,7;12,7;12,7;12,7;13,1;13,2;13,1;13,0;13,0;12,8;12,8;12,9;12,8;12,9;12,8;12,9;12,9;12,8;12,7;12,6;12,6
Electricité spécifique - Mois de Mars - Mai (Week-end);Froid;63,4;59,5;58,8;61,3;60,5;58,3;58,0;57,7;59,2;60,1;61,0;63,0;63,7;66,9;66,7;66,6;66,0;65,8;66,4;68,7;71,4;69,0;66,2;64,9
Electricité spécifique - Mois de Mars - Mai (Week-end);Audiovisuel;30,9;20,2;15,7;15,2;13,7;13,5;13,9;17,0;23,8;30,7;33,9;35,0;39,1;44,3;43,4;42,1;41,9;44,4;50,4;60,0;66,4;70,4;64,0;45,1
Electricité spécifique - Mois de Mars - Mai (Week-end);Informatique/Bureautique;21,8;20,0;19,1;19,8;18,6;18,1;17,9;18,2;18,9;20,3;21,6;21,8;21,7;22,8;24,6;25,2;24,5;24,9;25,5;26,4;27,1;26,9;26,3;24,3
Electricité spécifique - Mois de Mars - Mai (Week-end);Lavage séchage;39,7;25,5;28,4;21,5;22,2;16,7;10,6;10,4;23,7;62,4;80,7;74,6;75,4;73,1;81,2;71,8;56,7;46,7;52,7;53,3;50,0;49,9;38,9;38,3
Electricité spécifique - Mois de Mars - Mai (Week-end);Eclairage;16,2;11,0;8,1;6,0;5,1;4,9;5,9;8,0;11,3;13,2;14,5;14,3;13,6;10,7;10,5;9,7;11,0;12,1;15,9;25,4;33,1;36,9;33,0;23,9
Electricité spécifique - Mois de Mars - Mai (Week-end);Autres;66,7;61,8;60,4;56,3;56,1;54,6;47,5;47,3;50,4;56,7;67,9;65,4;62,3;61,3;58,1;57,5;62,7;59,3;65,3;70,7;72,7;61,5;58,2;55,4
Electricité spécifique - Mois de Mars - Mai ();Ventilation;12,5;12,6;12,6;12,7;12,7;12,7;12,9;13,1;12,8;12,7;12,7;12,7;12,7;12,7;12,7;12,8;13,0;13,1;13,0;13,0;13,0;12,8;12,7;12,6
Electricité spécifique - Mois de Mars - Mai ();Froid;63,3;60,4;59,4;59,5;59,3;58,0;57,1;58,4;58,6;59,8;60,4;60,2;62,6;65,3;63,8;64,0;64,4;64,5;65,0;68,0;70,7;68,0;65,1;63,6
Electricité spécifique - Mois de Mars - Mai ();Audiovisuel;27,7;19,1;15,8;14,6;13,8;14,4;15,0;19,0;23,4;26,1;27,2;28,5;35,9;42,3;37,3;35,6;36,2;39,7;47,5;59,4;67,1;72,4;64,3;44,2
Electricité spécifique - Mois de Mars - Mai ();Informatique/Bureautique;21,8;20,4;19,7;19,5;18,6;18,3;18,3;19,0;19,7;21,2;22,8;22,8;22,6;23,2;24,9;25,9;25,8;26,0;26,7;27,9;28,0;27,9;27,2;25,1
Electricité spécifique - Mois de Mars - Mai ();Lavage séchage;36,8;27,5;24,7;18,6;19,5;13,5;9,4;16,7;34,4;52,2;57,1;53,5;52,1;57,5;59,1;46,4;38,0;34,9;37,3;42,2;45,8;45,7;31,8;34,8
Electricité spécifique - Mois de Mars - Mai ();Eclairage;13,5;9,0;6,6;5,2;4,5;5,6;8,9;14,8;12,5;11,2;11,6;10,8;10,1;9,3;9,0;9,1;9,8;11,3;16,1;26,4;33,1;36,0;31,8;22,8
Electricité spécifique - Mois de Mars - Mai ();Autres;65,6;60,2;56,5;55,3;54,9;52,7;47,9;48,6;49,1;54,6;59,5;59,3;56,8;53,7;55,1;56,0;58,0;59,3;62,6;66,1;67,8;58,8;57,9;59,7
Electricité spécifique - Mois de Septembre - Novembre (Jours ouvrées);Ventilation;13,0;13,1;13,1;13,1;13,1;13,0;13,1;13,5;13,3;12,9;13,0;13,0;13,0;13,0;13,0;13,1;13,2;13,5;13,4;13,4;13,4;13,2;13,1;13,0
Electricité spécifique - Mois de Septembre - Novembre (Jours ouvrées);Froid;71,9;69,9;69,2;67,4;67,1;66,6;66,5;68,7;68,2;67,0;67,4;67,5;71,4;71,9;73,5;70,9;72,0;72,4;73,9;77,5;79,0;77,0;73,9;72,7
Electricité spécifique - Mois de Septembre - Novembre (Jours ouvrées);Audiovisuel;26,7;18,3;15,3;13,6;12,9;13,1;14,7;20,3;24,6;23,3;24,1;25,1;33,7;38,8;33,7;31,4;32,2;36,8;44,1;55,4;64,1;70,0;64,2;42,7
Electricité spécifique - Mois de Septembre - Novembre (Jours ouvrées);Informatique/Bureautique;21,2;19,6;19,2;18,1;17,5;17,4;18,1;18,1;19,2;21,5;22,3;22,8;22,7;22,8;23,8;24,3;24,6;24,8;25,4;26,7;27,4;28,2;26,9;23,8
Electricité spécifique - Mois de Septembre - Novembre (Jours ouvrées);Lavage séchage;38,3;27,5;21,8;15,8;10,4;6,7;6,4;21,9;35,6;38,2;35,4;32,3;34,1;47,2;46,5;32,4;27,1;27,1;31,7;36,2;41,9;46,4;30,5;32,0
