Période;Poste;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,8[;[8,9[;[9,10[;[10,11[;[11,12[;[12,13[;[13,14[;[14,15[;[15,16[;[16,17[;[17,18[;[18,19[;[19,20[;[20,21[;[21,22[;[22,23[;[23,24[
Mois de Décembre - Février (Week-end);Chauffage direct;266,0;260,8;277,5;291,0;327,6;348,5;363,7;379,2;410,4;410,5;390,7;361,9;340,9;323,7;302,1;289,1;297,1;300,7;324,8;343,4;337,4;346,1;297,8;274,0
Mois de Décembre - Février (Week-end);Ventilation;12,4;12,5;12,5;12,5;12,6;12,6;12,5;12,9;13,1;13,2;13,0;12,8;12,8;12,7;12,8;12,8;12,9;12,8;12,8;12,7;12,8;12,7;12,5;12,4
Mois de Décembre - Février (Week-end);Froid;60,3;58,2;57,8;57,5;57,1;56,6;58,2;55,2;58,4;58,1;58,4;59,1;61,1;63,5;62,8;61,9;60,9;61,1;61,7;65,1;65,7;64,3;62,6;60,7
Mois de Décembre - Février (Week-end);Audiovisuel;33,1;22,1;17,1;14,6;13,6;13,4;14,1;15,7;24,4;34,3;37,5;37,7;41,8;46,9;47,9;45,6;46,4;50,3;58,5;65,4;68,1;70,1;65,1;46,9
Mois de Décembre - Février (Week-end);Informatique/Bureautique;21,8;20,4;19,7;18,7;18,2;18,1;18,0;18,3;18,9;20,8;21,7;22,4;23,3;24,2;24,7;25,5;25,9;26,4;27,1;31,0;28,5;28,2;26,8;24,9
Mois de Décembre - Février (Week-end);Lavage séchage;46,1;33,9;28,6;21,9;19,8;12,7;7,9;8,4;25,1;56,6;90,8;90,6;87,0;88,6;102,5;79,1;73,5;63,6;68,1;60,2;55,9;60,7;41,4;39,3
Mois de Décembre - Février (Week-end);Cuisson;14,0;9,7;10,4;10,6;9,6;11,2;13,6;23,3;39,5;52,1;54,8;70,0;124,9;116,6;58,7;36,3;40,0;43,1;74,8;138,8;110,6;51,4;22,4;14,1
Mois de Décembre - Février (Week-end);Eclairage;14,9;9,4;7,4;5,8;5,2;5,2;6,0;10,5;16,1;19,5;20,6;19,6;17,0;14,7;13,5;13,9;17,9;30,7;53,4;63,0;55,8;41,5;31,5;23,2
Mois de Décembre - Février (Week-end);Chauffe eau;379,8;257,7;167,6;125,8;106,2;92,1;61,1;26,5;19,6;36,3;44,0;51,8;64,5;82,0;68,5;79,5;43,6;23,2;36,0;41,8;65,2;130,0;221,8;389,7
Mois de Décembre - Février (Week-end);Autres;91,9;73,6;68,4;70,7;68,6;69,6;64,1;60,8;63,8;65,4;65,7;67,8;70,8;64,9;61,5;61,1;68,9;74,1;89,6;87,8;86,0;79,3;76,6;94,2
Mois de Décembre - Février ();Chauffage direct;250,1;247,6;266,5;277,3;316,5;342,2;375,3;389,6;380,1;359,6;343,9;327,1;308,2;307,3;287,1;279,1;291,2;307,6;336,4;343,2;340,5;348,2;299,5;257,5
Mois de Décembre - Février ();Ventilation;12,4;12,4;12,4;12,5;12,6;12,5;12,8;13,0;12,9;12,7;12,6;12,5;12,5;12,5;12,6;12,6;12,8;13,0;12,9;12,9;12,9;12,7;12,5;12,4
Mois de Décembre - Février ();Froid;59,5;58,3;57,6;56,6;56,9;56,2;56,7;56,8;58,1;57,4;58,0;57,9;60,3;62,3;62,4;60,1;59,9;60,7;61,5;64,2;66,1;64,1;62,6;62,0
Mois de Décembre - Février ();Audiovisuel;28,9;19,8;15,8;13,9;13,1;14,4;14,9;17,8;23,6;27,0;28,6;29,3;37,0;42,6;40,5;37,0;38,1;43,4;53,0;63,0;67,8;71,6;64,3;44,5
Mois de Décembre - Février ();Informatique/Bureautique;22,1;20,5;19,6;18,6;18,1;18,7;18,3;18,6;19,8;22,0;23,4;23,8;24,7;24,9;26,7;26,6;26,8;27,1;27,5;29,2;29,1;28,3;27,2;25,1
Mois de Décembre - Février ();Lavage séchage;43,4;31,2;24,7;18,3;18,1;10,9;7,6;15,5;33,9;46,2;58,0;58,0;54,5;63,8;70,9;51,1;44,4;41,1;46,6;44,5;51,1;55,1;35,4;39,4
Mois de Décembre - Février ();Cuisson;12,6;10,8;10,2;10,5;10,1;12,6;20,1;33,7;36,9;35,3;37,7;50,0;102,9;83,9;42,7;28,0;32,6;43,1;80,0;148,7;116,9;51,1;20,1;14,1
Mois de Décembre - Février ();Eclairage;13,5;8,7;7,0;5,8;5,3;6,2;9,7;21,6;22,6;18,4;16,7;15,8;14,3;12,9;12,9;12,2;15,6;29,2;51,6;60,8;55,4;40,6;29,9;22,0
Mois de Décembre - Février ();Chauffe eau;392,8;276,3;186,6;137,6;118,1;106,3;89,8;45,4;30,0;33,8;39,7;38,6;51,1;60,7;54,0;63,4;36,0;20,4;29,3;38,4;58,3;119,8;214,1;378,6
