max_area,min_area,n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without
50.0,20.0,20,2053.4578124565123,9.1,3038.3827262772893,7068338.450227583,7115204.22703869,137648595.13750002,1519.1913631386446,46604.85536203161
152.63157894736844,71.57894736842105,20,5969.50864122723,27.778947368421054,66365.02213905289,20454124.835457534,21720097.114118062,137648595.13750002,33182.511069526445,46604.85536203161
255.26315789473685,123.15789473684211,20,8788.975819626447,46.45789473684211,163796.08457671688,31763855.851622235,36324990.00119737,137648595.13750002,81898.04228835844,46604.85536203161
357.89473684210526,174.73684210526318,20,10831.07141705511,65.13684210526316,211964.47342588718,39832005.22069318,50929882.88827665,137648595.13750002,105982.23671294359,46604.85536203161
460.5263157894737,226.31578947368422,20,12384.449864547907,83.8157894736842,258906.21690699106,46170043.646884404,65534775.77535592,137648595.13750002,129453.10845349553,46604.85536203161
563.1578947368421,277.89473684210526,20,13657.044385727504,102.49473684210525,338065.95225741324,51826164.06668532,80139668.66243632,137648595.13750002,169032.97612870662,46604.85536203161
665.7894736842105,329.47368421052636,20,14648.661405638812,121.17368421052632,378838.4896415649,56475510.35656925,94744561.54951528,137648595.13750002,189419.24482078245,46604.85536203161
768.421052631579,381.0526315789474,20,15532.42481236829,139.85263157894735,442276.9539274487,61109284.08906625,109349454.43659465,137648595.13750002,221138.47696372436,46604.85536203161
871.0526315789474,432.63157894736844,20,16282.144673472747,158.53157894736842,472544.75405650167,65026188.377724364,123954347.32367352,137648595.13750002,236272.37702825083,46604.85536203161
973.6842105263158,484.2105263157895,20,16874.897549269965,177.21052631578948,469760.1618409317,68089349.32402243,138559240.21075308,137648595.13750002,234880.08092046584,46604.85536203161
1076.3157894736842,535.7894736842105,20,17354.33050362892,195.88947368421051,504726.1565088238,71212523.94505374,153164133.09783122,137648595.13750002,252363.0782544119,46604.85536203161
1178.9473684210527,587.3684210526316,20,17755.60454716646,214.56842105263158,552730.6922735553,74229638.42363067,167769025.98491186,137648595.13750002,276365.34613677766,46604.85536203161
1281.578947368421,638.9473684210527,20,18073.840922902527,233.2473684210526,577863.794962991,76702102.17184916,182373918.871991,137648595.13750002,288931.8974814955,46604.85536203161
1384.2105263157896,690.5263157894738,20,18325.573381291626,251.9263157894737,579078.5079365078,78650892.40415233,196978811.7590695,137648595.13750002,289539.2539682539,46604.85536203161
1486.842105263158,742.1052631578948,20,18575.4519986377,270.60526315789474,579078.5079365078,80459659.24529333,211583704.64614835,137648595.13750002,289539.25396825396,46604.85536203161
1589.4736842105265,793.6842105263158,20,18781.322127023035,289.28421052631575,582683.4568297775,82167448.59740444,226188597.5332283,137648595.13750002,291341.7284148887,46604.85536203161
1692.1052631578948,845.2631578947369,20,18928.169447221517,307.9631578947369,613521.5565693695,83947829.84709297,240793490.4203076,137648595.13750002,306760.77828468475,46604.85536203161
1794.7368421052631,896.8421052631579,20,19040.527782536312,326.6421052631578,605371.5661916694,85155877.10264775,255398383.3073859,137648595.13750002,302685.7830958347,46604.85536203161
1897.3684210526317,948.421052631579,20,19110.142629154234,345.32105263157894,612198.8319940701,86395932.69044189,270003276.19446987,137648595.13750002,306099.41599703504,46604.85536203161
2000.0,1000.0,20,19147.494401862674,364.0,620032.5775574142,87521524.07506424,284608169.0815426,137648595.13750002,310016.2887787071,46604.85536203161
