n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without 
17,9111.985476666607,208.45125633254008,132215.7294986937,55146321.869025834,162986072.54821908,118106070.84042199,66107.86474934685,38567.25654860874
18,9616.59591621528,215.80094481004332,136144.06899285573,57593024.73168252,168732724.69355547,125027153.8647025,68072.03449642786,40826.61966200899
19,10262.116932060731,229.73531422985866,144987.9481734247,61467872.58380536,179627876.80311322,132917480.23140477,72493.97408671235,43440.05829796303
20,11037.574234068408,267.51316025139334,162592.9528254236,68152810.74249962,209166018.52848217,143482985.61758593,81296.4764127118,46877.8537285612
21,11888.101792435118,282.40562911388537,174157.84892097162,72997320.5999,220810299.5616104,155374741.2554401,87078.92446048581,50729.30983336086
22,12172.087006865318,288.1475208258254,176908.83476971707,74499727.11342204,225299830.57040077,158802067.02939445,88454.41738485853,51861.31637302105
23,12580.460246609888,301.3885828342496,184963.52580992892,77449834.296163,235652892.14982656,164033979.95043927,92481.76290496446,53574.45325341533
24,13006.994154608516,307.47090758696856,189782.30482101918,79675555.64459515,240408604.5444194,169312402.74652007,94891.15241050959,55309.62531840429
25,13319.875093280221,321.63034438310143,197461.8777728395,82341290.35167456,251479734.71412638,173200484.84283143,98730.93888641975,56587.4016238314
26,13705.973167978142,324.74955362899607,200083.1643502277,84002400.34217736,253918615.02307543,178097216.5562014,100041.58217511384,58194.692372468606
27,14355.499420764325,342.25571927638634,211035.9715827356,88280831.11724077,267606520.9366501,186495715.54789153,105517.9857913678,60940.80021112913
28,15059.465400681436,362.2337350267572,221625.95830618107,92804124.15572937,283227143.1470739,195624457.1858207,110812.97915309053,63927.55200204306
29,16127.675308400318,383.4882035598823,236104.66447352993,98992625.33689229,299845811.75700456,209796573.09829304,118052.33223676497,68547.62478589945
30,16751.846965546727,409.8326898776707,248870.54767059608,103879299.25960097,320444317.2962917,217954440.51442373,124435.27383529804,71206.98474187858
31,17025.255445780997,404.35972526042514,250000.0,104571950.57181862,316165057.84804076,221357408.79004523,125000.0,72324.74663553749
32,17375.798869221635,420.73288635149487,250000.0,106465457.8774625,328967078.1782787,226060088.08583692,125000.0,73856.64443849352
33,17933.24094902686,424.1639724925332,250000.0,108317965.05489308,331649812.09191114,233613320.61461636,125000.0,76319.96026355567
34,18231.676157665708,434.1858531936462,250000.0,109722276.31620274,339485826.1498725,237403397.10434464,125000.0,77561.9672383291
35,18688.119878658526,446.4335694220966,250000.0,111708260.59909903,349062200.0268226,243593814.0983512,125000.0,79583.2576366522
36,19192.003628709135,459.49648499901747,250000.0,113882533.96027054,359275970.5905923,250397956.00306982,125000.0,81807.13601051443
37,20194.530966858896,474.88995455835396,250000.0,117668582.5008602,371311979.3463524,264615274.5751992,125000.0,86441.85531815662
38,20559.64593170137,483.42790117969093,250000.0,119194940.04766363,377987719.3343047,269502411.00264186,125000.0,88042.76142709632
39,20998.925863686047,482.9163630836742,250000.0,120497748.88833874,377587752.5185819,276208004.1433042,125000.0,90214.98638672859
40,21320.37227577807,502.9481552876888,250000.0,122460972.44476765,393250422.0312375,280620614.2679972,125000.0,91657.42726235802
41,21799.409197319095,521.7435770822062,250000.0,124847168.26916528,407946385.17423797,287416811.415783,125000.0,93879.03191577179
42,22281.151782564066,527.606662289814,250000.0,126590403.16832101,412530676.23497385,294329640.318279,125000.0,96134.64736490803
43,22909.025180437893,534.5855047155403,250000.0,128840132.61832917,417987367.3478687,302224199.1924031,125000.0,98748.65889408841
44,23637.426292120595,539.7040538144634,250000.0,131291218.07056984,421989512.642919,312793853.1322729,125000.0,102200.15529285128
45,24398.218032097313,552.9978149557271,250000.0,134267130.9621228,432383779.1775957,324694288.1034794,125000.0,106055.53772450978
46,24660.579971179985,557.5955562382802,250000.0,135292090.56273976,435978709.7499515,328121033.7886825,125000.0,107185.96079085727
47,25028.046541706743,563.5840135326409,250000.0,136704932.86618704,440661028.0636057,333346242.4139748,125000.0,108895.17071139293
48,25401.40303302398,570.0438908327774,250000.0,138159518.89842576,445711945.23636913,338617924.6835504,125000.0,110627.93014936161
