n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without 
37,20312.883655873,492.2303242489705,301877.7432574515,125739624.60502914,384870250.9640565,264615274.5751992,150938.87162872576,86441.85531815662
38,20699.911925223158,500.82141488989,308257.90997911326,128175739.06732991,391587543.7600046,269502411.00264186,154128.95498955663,88042.76142709632
39,21175.5222111592,514.5071132709379,314815.2577705913,131166782.30343398,402288262.32822496,276208004.1433042,157407.62888529565,90214.9863867286
40,21517.694185028944,522.2808721466799,319821.35502951447,133247200.4972177,408366491.12082034,280620614.2679972,159910.67751475723,91657.42726235802
41,22038.15827893031,534.4909969900234,328148.82951277983,136531421.38066217,417913472.6480793,287416811.415783,164074.41475638992,93879.0319157718
42,22561.242025068845,547.0465127077438,337037.0750681119,139912886.55915663,427730512.0444901,294329640.318279,168518.53753405594,96134.64736490804
43,23237.57558287957,561.6210041740156,347400.35235594714,144051568.1736324,439126169.5486401,302224199.1924031,173700.17617797357,98748.6588940884
44,24038.625546441053,580.5027488238925,356170.7393608044,148574002.13420904,453889627.7186046,312793853.1322729,178085.3696804022,102200.15529285128
45,24888.58200705456,608.0601223030178,370643.5891220086,154459330.5817669,475436478.2971553,324694288.1034794,185321.7945610043,106055.53772450978
46,25175.1571500132,613.2894586362416,374938.3713304548,156143867.8937865,479525247.0864666,328121033.7886825,187469.1856652274,107185.96079085728
47,25584.470051926044,623.3496920857071,380510.6036762924,158621108.26098806,487391248.7968623,333346242.4139748,190255.30183814617,108895.17071139292
48,26002.307025416478,631.098355934146,386293.57287875743,161029607.8811672,493449856.0241502,338617924.6835504,193146.78643937872,110627.9301493616
