capex_battery,injection_price,n_households,objective,kWc,wh_battery,puissance_totale,puissance_produite,tot_conso,p_bat_max,total_cost_without
0.1,0.01,20,11980.175921267502,165.32924767142816,237732.97513012137,60957871.35157486,129269380.4269084,137648595.13750002,118866.48756506068,46604.85536203161
0.1,0.02,20,12702.657371913676,196.37484179772775,277843.69203664974,65783516.77637278,153543637.8509045,137648595.13750002,138921.84601832487,46604.85536203161
0.1,0.03,20,13627.606181655468,238.49985105083047,306654.6220954739,70563077.95314026,186480785.5324137,137648595.13750002,153327.31104773696,46604.85536203161
0.1,0.04,20,15218.360457647655,374.481417077032,357582.84765263565,81106074.31847572,292803490.30043393,137648595.13750002,178791.42382631783,46604.85536203161
0.1,0.05,20,17997.030199858018,545.9994557192441,400000.0,89673567.99767208,426911828.0543276,137648595.13750002,200000.0,46604.85536203161
0.1,0.06,20,27810.133650171974,1820.0,400000.0,107999382.18555376,1423040845.4077497,137648595.13750002,200000.0,46604.85536203161
0.1,0.07,20,40851.72967900144,1820.0,400000.0,107999382.18555376,1423040845.4077497,137648595.13750002,200000.0,46604.85536203161
0.1,0.08,20,53893.325707830896,1820.0,400000.0,107999382.18555376,1423040845.4077497,137648595.13750002,200000.0,46604.85536203161
0.1,0.09,20,66934.92173666036,1820.0,400000.0,107999382.18555376,1423040845.4077497,137648595.13750002,200000.0,46604.85536203161
0.1,0.1,20,79976.51776548981,1820.0,400000.0,107999382.18555376,1423040845.4077497,137648595.13750002,200000.0,46604.85536203161
0.1666666666666666,0.01,20,10597.629504600172,139.77668271089377,128089.94706074624,53084394.60035746,109290070.73252603,137648595.13750002,64044.97353037312,46604.85536203161
0.1666666666666666,0.02,20,11184.660302643331,160.5055951915891,136517.84946575237,55699717.97238499,125497812.0187423,137648595.13750002,68258.92473287618,46604.85536203161
0.1666666666666666,0.03,20,11931.857106488147,195.6177783088538,149939.57432047132,59403532.75098262,152951697.044732,137648595.13750002,74969.78716023566,46604.85536203161
0.1666666666666666,0.04,20,13158.616175154986,299.2400762288636,188906.23536553024,68324786.99968779,233972995.08604288,137648595.13750002,94453.11768276512,46604.85536203161
0.1666666666666666,0.05,20,15469.878489567236,546.0,249253.9403073461,80710036.30598998,426912253.6223247,137648595.13750002,124626.97015367306,46604.85536203161
0.1666666666666666,0.06,20,24787.117553740216,1820.0,340416.4682539684,103610155.60162205,1423040845.4077497,137648595.13750002,170208.2341269841,46604.85536203161
0.1666666666666666,0.07,20,37891.84651299931,1820.0,320382.2238907257,101932782.30451344,1423040845.4077497,137648595.13750002,160191.11194536285,46604.85536203161
0.1666666666666666,0.08,20,51037.10697735594,1820.0,275329.91297209845,98042681.98782016,1423040845.4077497,137648595.13750002,137664.95648604922,46604.85536203161
0.1666666666666666,0.09,20,64217.057825805765,1820.0,247709.7023809524,95598524.59218071,1423040845.4077497,137648595.13750002,123854.8511904762,46604.85536203161
0.1666666666666666,0.1,20,77427.91043317765,1820.0,220582.44663316212,93071893.44500148,1423040845.4077497,137648595.13750002,110291.22331658108,46604.85536203161
0.2333333333333333,0.01,20,9747.553849897064,128.87109096939344,89235.58219091225,49204334.792695306,100763091.34159492,137648595.13750002,44617.79109545612,46604.85536203161
0.2333333333333333,0.02,20,10292.97929655456,148.58561496254032,93031.70160228443,51528783.28390656,116177691.8306165,137648595.13750002,46515.85080114222,46604.85536203161
0.2333333333333333,0.03,20,11000.896603700065,180.53579510419175,97306.14502268004,54516451.62138272,141159236.53375322,137648595.13750002,48653.072511340026,46604.85536203161
0.2333333333333333,0.04,20,12002.141164881634,232.12196903384577,107362.17210006302,58636652.868416935,181493979.6986992,137648595.13750002,53681.08605003151,46604.85536203161
0.2333333333333333,0.05,20,13967.113609843052,497.38012158008735,151190.65730366582,71469520.59125021,388896828.9573231,137648595.13750002,75595.32865183291,46604.85536203161
0.2333333333333333,0.06,20,22901.47425077748,1820.0,164488.61805259105,87487312.662369,1423040845.4077497,137648595.13750002,82244.30902629552,46604.85536203161
0.2333333333333333,0.07,20,36202.29638689599,1820.0,152195.5992063492,86156456.90378766,1423040845.4077497,137648595.13750002,76097.7996031746,46604.85536203161
0.2333333333333333,0.08,20,49518.05553607732,1820.0,142040.23641274738,85005307.522615,1423040845.4077497,137648595.13750002,71020.11820637369,46604.85536203161
0.2333333333333333,0.09,20,62858.28316148603,1820.0,118844.94841269842,82282864.92670687,1423040845.4077497,137648595.13750002,59422.47420634919,46604.85536203161
0.2333333333333333,0.1,20,76224.72654081116,1820.0,107262.6746031746,80880796.95476866,1423040845.4077497,137648595.13750002,53631.3373015873,46604.85536203161
0.3,0.01,20,9129.000834576822,125.04445208382262,70981.75454260575,47111429.28732716,97771078.4653348,137648595.13750002,35490.877271302874,46604.85536203161
0.3,0.02,20,9663.78987274527,142.68929410569297,72542.1809541807,49075370.37029824,111567414.12900946,137648595.13750002,36271.09047709035,46604.85536203161
0.3,0.03,20,10359.33550784402,171.7599174819528,73408.89137736704,51577655.682941504,134297460.5388352,137648595.13750002,36704.44568868352,46604.85536203161
0.3,0.04,20,11304.434989218264,223.2765464960988,77781.54416530918,55207325.44486119,174577827.18984956,137648595.13750002,38890.77208265459,46604.85536203161
0.3,0.05,20,13059.247175490817,449.08704860977065,94147.0,64357131.15931009,351136930.393027,137648595.13750002,47073.5,46604.85536203161
0.3,0.06,20,21894.72352467382,1820.0,95483.12214300476,79373439.2448185,1423040845.4077497,137648595.13750002,47741.56107150238,46604.85536203161
